Sl.No.	English Word forms	Hindi Dictionary Translation	Definition/Facts/Descrption	Stong’s Number	References	Aligned Words
11	appoint, appoints, appointed, appointment, ordered, desired, directed, selected, reserved	ठहराए, नियुक्त करना, निुयक्त किया	'The terms "appoint" and "appointed" refer to choosing someone to fulfill a specific task or role.  * To "be appointed" can also refer to being "chosen" to receive something, as in "appointed to eternal life." That people were "appointed to eternal life" means they were chosen to receive eterna life. * The phrase "appointed time" refers to God''s "chosen time" or "planned time" for something to happen. * The word "appoint" may also mean to "command" or "assign" someone to do something.'	G322,G606,G1299,G1303,G1935,G2525,G2749,G4287,G4384,G4929,G5021,G5087	44003020 ,44006002 ,44013048	
12	ark	जहाज़	The term "ark" literally refers to a rectangular wooden box that is made to hold or protect something. An ark can be large or small, depending on what it is being used for.  * In the English Bible, the word "ark" is first used to refer to the very large, rectangular, wooden boat that Noah built to escape the worldwide flood. The ark had a flat bottom, a roof, and walls. * Ways to translate this term could include "very large boat" or "barge" or "cargo ship" or "large, box-shaped boat." * The Hebrew word that is used to refer to this huge boat is the same word used for the basket or box that held baby Moses when his mother put him in the Nile River to hide him. In that case it is usually translated as "basket." * In the phrase "ark of the covenant," a different Hebrew word is used for "ark." This could be translated as "box" or "chest" or "container." * When choosing a term to translate "ark," it is important in each context to consider what size it is and what it is being used for.   	G2787	60003020 ,42017027 ,40024037 ,40024038 ,40024039	
13	ark of the covenant, ark of Yahweh	वाचा का सन्दूक, यहोवा का सन्दूक	'These terms refer to a special wooden chest, overlaid with gold, that contained the two stone tablets on which the Ten Commandments were written. It also contained Aaron''s staff and a jar of manna.  * The term "ark" here could be translated as "box" or "chest" or "container." * The objects in this chest reminded the Israelites of God''s covenant with them. * The ark of the covenant was located in the "most holy place." * God''s presence was above the ark of the covenant in the most holy place of the tabernacle, where he spoke to Moses on behalf of the Israelites. * During the time that the ark of the covenant was in the most holy place of the temple, the high priest was the only one who could approach the ark, once a year on the Day of Atonement. * Many English versions translate the term "covenant decrees" literally as "testimony." This refers to the fact that the Ten Commandments were a testimony or witness to God''s covenant with his people. It is also translated as "covenant law."   '		58009005 ,66011019	
14	atonement, atone, atones, atoned	प्रायश्चित, प्रायश्चित करना, प्रायश्चित किया जाए, प्रायश्चित किया	'The terms "atone" and "atonement" refer to how God provided a sacrifice to pay for people''s sins and to appease his wrath for sin.  * In Old Testament times, God allowed temporary atonement to be made for the sins of the Israelites by the offering of a blood sacrifice, which involved killing an animal. * As recorded in the New Testament, Christ''s death on the cross is the only true and permanent atonement for sin. * When Jesus died, he took the punishment that people deserve because of their sin. He paid the atonement price with his sacrificial death.'	G2643		
15	atonement lid	प्रायश्चित का ढकना	'The "atonement lid" was a slab of gold that was used to cover the top of the ark of the covenant. In many English translations, it is also referred to as an "atonement cover."  * The atonement lid was about 115 centimeters in length and 70 centimeters in width. * Above the atonement lid were two gold cherubim with their wings touching. * Yahweh said that he would meet with the Israelites above the atonement lid, under the outstretched wings of the cherubim. Only the high priest was permitted to meet with Yahweh in this way, as the representative of the people. * Sometimes this atonement lid has been referred to as a "mercy seat" because it communicates God''s mercy in coming down to redeem sinful human beings.'	G2435		
16	authority, authorities	अधिकारी, अधिकारियों	The term "authority" refers to the power of influence and control that someone has over someone else.  * Kings and other governing rulers have authority over the people they are ruling. * The word "authorities" can refer to people, governments, or organizations that have authority over others.  * The word "authorities" can also refer to spirit beings who have power over people who have not submitted themselves to God’s authority. * Masters have authority over their servants or slaves. Parents have authority over their children. * Governments have the authority or right to make laws that govern their citizens.	G831,G1413,G1849,G1850,G2003,G2715,G5247	51002010 ,42012005 ,42020001 ,42020002 ,41001022 ,40008009 ,40028019 ,56003001	
17	baptize, baptized, baptism	बपतिस्मा देना, बपतिस्मा लिया, बपतिस्मा	In the New Testament, the terms "baptize" and "baptism" usually refer to ritually bathing a Christian with water to show that he has been cleansed from sin and has been united with Christ.  * Besides water baptism, the Bible talks about being "baptized with the Holy Spirit" and "baptized with fire." * The term "baptism" is also used in the Bible to refer to going through great suffering.	G907	44002038 ,44008036 ,44009018 ,44010048 ,42003016 ,40003014 ,40028018 ,40028019	
18	believe, believes, believed, believer, belief, unbeliever, unbelievers, unbelief	विश्वास, विश्वास करे, विश्वास किया, विश्वास	The terms "believe" and "believe in" are closely related, but have slightly different meanings:	G544,G569,G571,G3982,G4100,G4102,G4103,G4135	41006004 ,41006005 ,41006006 ,41001014 ,41001015 ,42009041 ,43001012 ,44006005 ,44009042 ,44028023 ,44028024 ,45003003 ,46006001 ,46009005 ,47006015 ,58003012 ,62003023	
19	believer	विश्वासी		G4100, G4103		
20	beloved, treasured	प्रिय	The term "beloved" is an expression of affection that describes someone who is loved and dear to someone else.  * The term "beloved" literally means "loved (one)" or "(who is) loved." * God refers to Jesus as his "beloved Son." * In their letters to Christian churches, the apostles frequently address their fellow believers as "beloved."	G25,G27,G5207	46004014 ,62003002 ,62004007 ,41001011 ,41012006 ,66020009 ,45016008	
21	birthright	पहिलौठे का अधिकार	'The term "birthright" in the Bible refers to the honor, family name, and physical wealth that was normally given to the firstborn son in a family.  * The birthright of the firstborn son included a double portion of the father''s inheritance. * A king''s firstborn son was normally given the birthright to rule after his father died. * Esau sold his birthright to his younger brother Jacob. Because of this, Jacob inherited the blessing of the firstborn instead of Esau. * The birthright also included the honor of having the family descendants traced through the firstborn son''s line.'	G4415	58012014 ,58012015 ,58012016 ,58012017	
22	blameless	निर्दोष	The term "blameless" literally means "without blame." It is used to refer to a person who obeys God wholeheartedly, but it does not mean that the person is sinless.  * Abraham and Noah were considered blameless before God. * A person who has a reputation for being "blameless" behaves in a way that honors God. * According to one verse, a person who is blameless is "one who fears God and turns away from evil."	G273,G274,G298,G338,G410,G423	52002010 ,52003011 ,52003012 ,52003013 ,61003014 ,51001022 ,50002015 ,50003006	
23	blasphemy, blaspheme, blasphemes, blasphemed, blasphemous, blasphemies	निन्दा, निन्दा, निन्दा की, निन्दा करना, निन्दक	In the Bible, the term "blasphemy" refers to speaking in a way that shows a deep disrespect for God or people. To "blaspheme" someone is to speak against that person so that others think something false or bad about him.  * Most often, to blaspheme God means to slander or insult him by saying things that are not true about him or by behaving in an immoral way that dishonors him. * It is blasphemy for a human being to claim to be God or to claim that there is a God other than the one true God. * Some English versions translate this term as "slander" when it refers to blaspheming people.	G987,G988,G989	54001012 ,54001013 ,54001014 ,44006011 ,44026009 ,44026010 ,44026011 ,59002005 ,59002006 ,59002007 ,43010032 ,43010033 ,42012010 ,41014064 ,40012031 ,40026065	
24	bless, blessed, blessing, blessings	आशीष, धन्य, आशीर्वाद	To "bless" someone or something means to cause good and beneficial things to happen to the person or thing that is being blessed.  * Blessing someone also means expressing a desire for positive and beneficial things to happen to that person. * In Bible times, a father would often pronounce a formal blessing on his children. * When people "bless" God or express a desire that God be blessed, this means they are praising him. * The term "bless" is sometimes used for consecrating food before it is eaten, or for thanking and praising God for the food.	G1757,G2127,G2128,G2129,G3106,G3107,G3108,G6050	46010016 ,44013034 ,49001003 ,59001025 ,42006020 ,40026026 ,45004009	
25	blood	लहू	'The term "blood" refers to the red liquid that comes out of a person''s skin when there is an injury or wound. Blood brings life-giving nutrients to a person''s entire body.  * Blood symbolizes life and when it is shed or poured out, it symbolizes the loss of life, or death. * When people made sacrifices to God, they killed an animal and poured its blood on the altar. This symbolized the sacrifice of the animal''s life to pay for people''s sins. * Through his death on the cross, Jesus'' blood symbolically cleanses people from their sins and pays for the punishment they deserve for those sins. * The expression "flesh and blood" refers to human beings. * The expression "own flesh and blood" refers to people who are biologically related.'	G129,G130,G131,G1420	62001007 ,44002020 ,44005028 ,51001020 ,48001016	
26	boast, boasts, boastful	घमण्ड, घमण्ड करना, घमण्डी	The term "boast" means to talk proudly about something or someone. Often it means to brag about oneself.  * Someone who is "boastful" talks about himself in a proud way. * God rebuked the Israelites for "boasting in" their idols. They arrogantly worshiped false gods instead of the true God. * The Bible also talks about people boasting in such things as their wealth, their strength, their fruitful fields, and their laws. This means that they were proud about these things and did not acknowledge that God is the one who provided these things. * God urged the Israelites to instead "boast" or be proud about the fact that they know him. * The apostle Paul also talks about boasting in the Lord, which means being glad and thankful to God for all he has done for them.	G212,G213,G2620,G2744,G2745,G2746,G3166	55003001 ,55003002 ,55003003 ,55003004 ,59003014 ,59004015 ,59004016 ,59004017	
27	body, bodies	देह, शरीरों	'The term "body" literally refers to the physical body of a person or animal. This term is also used figuratively to refer to an object or  whole group that has individual members.  * Often the term "body" refers to a dead person or animal. Sometimes this is referred to as a "dead body" or a "corpse." * When Jesus said to the disciples at his last Passover meal, "This (bread) is my body," he was referring to his physical body that would be "broken" (killed) to pay for their sins. * In the Bible, Christians as a group are referred to as the "body of Christ." * Just as a physical body has many parts, the "body of Christ" has many individual members. * Each individual believer has a special function in the body of Christ to help the whole group work together to serve God and bring him glory. * Jesus is also referred to as the "head" (leader) of the "body" of his believers. Just as a person''s head tells his body what to do, so Jesus is the one who guides and directs Christians as members of his "body."'	G4430,G4954,G4983,G5559	46005005 ,49004004 ,45012005	
28	bind, binding, bond, bonds, bound, is bound, tie, tying, tie up, tied, tied up, put on, puts on, gird up, fetters, chains	बांधना, बन्धन, बाँधा	The term "bind" means to tie something or fasten it securely. Something that is tied or joined together is called a "bond." The term "bound" is the past tense of this term.  * To be "bound" means to have something tied or wrapped around something else. * In a figurative sense, a person can be "bound" to a vow, which means he is "required to fulfill" what he promised to do. * The term "bonds" refers to anything that binds, confines, or imprisons someone. It usually refers to physical chains, fetters or ropes that keep a person from being free to move. * In Bible times, bonds such as ropes or chains were used to attach prisoners to the wall or floor of a stone prison. * The term "bind" can also be used to talk about wrapping cloth around a wound to help it heal. * A dead person would be "bound" with cloth in preparation for burial. * The term "bond" is used figuratively to refer to something, such as sin, that controls or enslaves someone. * A bond can also be a close relationship between people in which they support each other emotionally, spiritually and physically. This applies to the bond of marriage. * For example, a husband and wife are "bound" or tied to each other. It is a bond that God does not want broken.	G254,G331,G332,G1195,G1196,G1198,G1199,G1210,G1397,G1398,G1401,G1402,G2611,G2615,G3734,G3784,G3814,G4019,G4029,G4385,G4886,G4887,G5265		
29	born again, born of God, new birth	नए सिरे से जन्म लेना, परमेश्‍वर से जन्मा है, नए जन्म	'The term "born again" was first used by Jesus to describe what it means for God to change a person from being dead spiritually to being alive spiritually. The terms "born of God" and "born of the Spirit" also refer to a person being given new spiritual life.  * All humans are born spiritually dead and are given a "new birth" when they accept Jesus Christ as their Savior. * At the moment of the spiritual new birth, God''s Holy Spirit begins to live in the new believer and empowers him to produce good spiritual fruit in his life. * It is God''s work to cause a person to be born again and become his child.'	G313, G509, G1080, G3824	62003009 ,60001003 ,60001023 ,43003004 ,43003007 ,56003005	
30	brother, brothers	भाई, भाइयों	The term "brother" usually refers to a male person who shares at least one biological parent with another person.  * In the Old Testament, the term "brothers" is also used as a general reference to relatives, such as members of the same tribe, clan, or people group. * In the New Testament, the apostles often used "brothers" to refer to fellow Christians, including both men and women, since all believers in Christ are members of one spiritual family, with God as their heavenly Father. * A few times in the New Testament, the apostles used the term "sister" when referring specifically to a fellow Christian who was a woman, or to emphasize that both men and women are being included. For example, James emphasizes that he is talking about all believers when he refers to "a brother or sister who is in need of food or clothing."	G80,G81,G2385,G2455,G2500,G4613,G5360,G5569	44007026 ,50004021 ,66001009	
31	call, calls, calling, called, invite	बुलाना, पुकारे, पुकारना, कहलाता	The terms "call to" and "call out" mean to say something loudly to someone who is not nearby. To "call" someone means to summon that person. There are also some other meanings.  * To "call out" to someone means to shout or speak loudly to someone far away. It can also mean to ask someone for help, especially God. * Often in the Bible, "call" has a meaning of "summon" or "command to come" or "request to come." * God calls people to come to him and be his people. This is their "calling." * When God "calls" people, it means that God has appointed or chosen people to be his children, to be his servants and proclaimers of his message of salvation through Jesus. * This term is also used in the context of naming someone. For example, "His name is called John," means, "He is named John" or "His name is John." * To be "called by the name of" means that someone is given the name of someone else. God says that he has called his people by his name. * A different expression, "I have called you by name" means that God has specifically chosen that person.	G154,G363,G1458,G1528,G1941,G1951,G2028,G2046,G2564,G2821,G2822,G2840,G2919,G3004,G3106,G3333,G3343,G3603,G3686,G3687,G4316,G4341,G4377,G4779,G4867,G5455,G5537,G5581	52004007 ,55001009 ,49004001 ,48001015 ,40002015 ,50003014	
32	centurion, centurions	सूबेदार, सूबेदारों	'A centurion was a Roman army officer who had a group of 100 soldiers under his command.  * This could also be translated with a term that means, "leader of a hundred men" or "army leader" or "officer in charge of a hundred." * One Roman centurion came to Jesus to request healing for his servant. * The centurion in charge of Jesus'' crucifixion was amazed when he witnessed how Jesus died. * God sent a centurion to Peter so that Peter could explain to him the good news about Jesus.   '	G1543, G2760	44010001 ,44027001 ,44027042 ,44027043 ,44027044 ,42007004 ,42023047 ,41015039 ,40008007 ,40027054	
33	children, child	बच्चे, बालक	'In the Bible, the term "child" is often used to generally refer to someone who is young in age, including an infant. The term "children" is the plural form and it also has several figurative uses.  * In the Bible, disciples or followers are sometimes called "children." * Often the term "children" is used to refer to a person''s descendants. * The phrase "children of" can refer to being characterized by something. Some examples of this would be:    * children of the light    * children of obedience    * children of the devil   * This term can also refer to people who are like spiritual children. For example, "children of God" refers to people who belong to God through faith in Jesus.'	G730,G815,G1025,G1064,G1471,G3439,G3515,G3516,G3808,G3812,G3813,G3816,G5040,G5041,G5042,G5043,G5044,G5206,G5207,G5388	62002028 ,64001004 ,48004019	
34	Christ, Messiah	मसीह, मसीहा	'The terms "Messiah" and "Christ" mean "Anointed One" and refer to Jesus, God''s Son.  * Both "Messiah" and "Christ" are used in the New Testament to refer to God''s Son, whom God the Father appointed to rule as king over his people, and to save them from sin and death. * In the Old Testament, the prophets wrote prophecies about the Messiah hundreds of years before he came to earth. * Often a word meaning "anointed (one)" is used in the Old Testament to refer to the Messiah who would come. * Jesus fulfilled many of these prophecies and did many miraculous works that proves he is the Messiah; the rest of these prophecies will be fulfilled when he returns. * The word "Christ" is often used as a title, as in "the Christ" and "Christ Jesus." * "Christ" also came to be used as part of his name, as in "Jesus Christ."'	G3323,G5547	62005001 ,62005002 ,62005003 ,44002035 ,44005040 ,44005041 ,44005042 ,43001040 ,43001041 ,43001042 ,43003027 ,43003028 ,43004025 ,42002010 ,42002011 ,42002012 ,40001016	
35	Christian	मसीही	'Some time after Jesus went back to heaven, people made up the name "Christian" which means, "follower of Christ."  * It was in the city of Antioch where Jesus'' followers were first called "Christians." * A Christian is a person who believes that Jesus is the Son of God, and who trusts Jesus to save him from his sins. * In our modern times, often the term "Christian" is used for someone who identifies with the Christian religion, but who is not really following Jesus. This is not the meaning of "Christian" in the Bible. * Because the term "Christian" in the Bible always refers to someone who truly believes in Jesus, a Christian is also called a "believer."'	G5546	46006007 ,46006008 ,60004016 ,44011026 ,44026028	
36	church, churches, Church	कलीसिया, कलीसियाओं, कलीसिया	'In the New Testament, the term "church" refers to a local group of believers in Jesus who regularly met together to pray and hear God''s word preached. The term "the Church" often refers to all Christians.  * This term literally refers to a "called out" assembly or congregation of people who meet together for a special purpose. * When this term is used to refer to all believers everywhere in the whole body of Christ, some Bible translations capitalize the first letter ("Church") to distinguish it from the local church. * Often the believers in a particular city would meet together in someone''s home. These local churches were given the name of the city such as the "church at Ephesus." * In the Bible, "church" does not refer to a building.'	G1577	46005012 ,52002014 ,54003005 ,44009031 ,44014023 ,44015041 ,51004015 ,49005023 ,40016018 ,50004015	
37	circumcise, circumcised, circumcision, uncircumcised, uncircumcision	खतना करना, खतना किया, खतना	'The term "circumcise" means to cut off the foreskin of a man or male child. A circumcision ceremony may be performed in connection with this.  * God commanded Abraham to circumcise every male among his family and servants as a sign of God''s covenant with them. * God also commanded Abraham''s descendants to continue to do this for every baby boy born into their households. * The phrase, "circumcision of the heart" refers figuratively to the "cutting away" or removal of sin from a person. * In a spiritual sense, "the circumcised" refers to people whom God has purified from sin through the blood of Jesus and who are his people. * The term "uncircumcised" refers to those who have not been circumcised physically. It can also refer figuratively to those who have not been circumcised spiritually, who do not have a relationship with God.  The terms "uncircumcised" and "uncircumcision" refer to a male who has not been physically circumcised. These terms are also used figuratively.  * Egypt was a nation that also required circumcision. So when God talks about Egypt being defeated by the "uncircumcised," he is referring to people whom the Egyptians despised for not being circumcised. * The Bible refers to people who have an "uncircumcised heart" or who are "uncircumcised in heart." This a figurative way of saying that these people are not God''s people, and are stubbornly disobedient to him.  * If a word for circumcision is used or known in the language, "uncircumcised" could be translated as "not circumcised." * The expression "the uncircumcision" could be translated as "people who are not circumcised" or "people who do not belong to God," depending on the context. * Other ways to translate figurative senses of this term could include "not God''s people" or "rebellious like those who don''t belong to God" or "people who have no sign of belonging to God." * The expression "uncircumcised in heart" could be translated as "stubbornly rebellious" or "refusing to believe." However, if possible it is best to keep the expression or a similar one since spiritual circumcision is an important concept.'	G203,G1986,G4059,G4061	44010044 ,44010045 ,44011003 ,44015001 ,44011003 ,45002027 ,48005003 ,49002011 ,50003003 ,51002011 ,51002013	
38	clean, cleans, cleaned, cleanse, cleansed, cleansing, wash, washing, washed, washes, unclean	शुद्ध, शुद्ध करेगा, शुद्ध किया, शुद्ध करना, शुद्ध, शुद्ध होने, धुलाई, धुलाई, धोया, धोया	'The term "clean" literally means to not have any dirt or stain. In the Bible, it is often used figuratively to mean, "pure," "holy," or "free from sin."  * "Cleanse" is the process of making something "clean." It could also be translated as "wash" or "purify." * In the Old Testament, God told the Israelites which animals he had specified as ritually "clean" and which ones were "unclean." Only the clean animals were permitted to be used for eating or for sacrifice. In this context, the term "clean" means that the animal was acceptable to God for use as a sacrifice. * A person who had certain skin diseases would be unclean until the skin was healed enough to no longer be contagious. Instructions for cleansing the skin had to be obeyed in order for that person to be declared "clean" again. * Sometimes "clean" is used figuratively to refer to moral purity.  In the Bible, the term "unclean" is used figuratively to refer to things that God declared to be unfit for his people to touch, eat, or sacrifice.   * God gave the Israelites instructions about which animals were "clean" and which ones were "unclean." The unclean animals were not permitted to be used for eating or for sacrifice.   * People with certain skin diseases were said to be "unclean" until they were healed.   * If the Israelites touched something "unclean," they themselves would be considered unclean for a certain period of time.   * Obeying God''s commands about not touching or eating unclean things kept the Israelites set apart for God''s service.   * This physical and ritual uncleanness was also symbolic of moral uncleanness.   * In another figurative sense, an "unclean spirit" refers to an evil spirit.'	G2511,G2512,G2513,G3689	40023027 ,42005013 ,44008007 ,44010027 ,44010028 ,44010029 ,51003005 ,52004007 ,59004008	
39	command, commands, commanded, commandment, commandments	आज्ञा, आज्ञाएँ, आज्ञा दी, आज्ञा, आज्ञाएं	The term to "command" means to order someone to do something. A "command" or "commandment" is what the person was ordered to do.  * Although these terms have basically the same meaning, "commandment" often refers to certain commands of God which are more formal and permanent, such as the "Ten Commandments." * A command can be positive ("Honor your parents") or negative ("Do not steal"). * To "take command" means to "take control" or "take charge" of something or someone.	G1263,G1291,G1296,G1297,G1299,G1690,G1778,G1781,G1785,G2003,G2004,G2008,G2036,G2753,G3056,G3726,G3852,G3853,G4367,G4483,G4487,G5506	42001006 ,40001024 ,40022038 ,40028020 ,45007007 ,45007008	
40	compassion, compassionate, deal gently with	तरस, दयालु	'The term "compassion" refers to a feeling of concern for people, especially for those who are suffering. A "compassionate" person cares about other people and helps them.  * The word "compassion" usually includes caring about people in need, as well as taking action to help them.   * The Bible says that God is compassionate, that is, he is full of love and mercy. * In Paul''s letter to the Colossians, he tells them to "clothe themselves with compassion." He is instructing them to care about people and to actively help others who are in need.'	G1653,G3356,G3627,G4697,G4834,G4835	59005009 ,59005010 ,59005011 ,41001041 ,45009014 ,45009015 ,45009016	
41	condemn, condemns, condemned, condemnation, sentence of condemnation, sentenced to death	दोष लगाना, दोषी, निन्दा, दण्ड की आज्ञा	The terms "condemn" and "condemnation" refer to judging someone for doing something wrong.  * Often the word "condemn" includes punishing that person for what they did wrong. * Sometimes "condemn" means to falsely accuse someone or to judge someone harshly. * The term "condemnation" refers to the act of condemning or accusing someone.	G176,G843,G2607,G2613,G2631,G2632,G2633,G2917,G2919,G2920,G5272,G6048	62003020 ,43005024 ,42006037 ,40012007 ,45005016	
42	confess, confessed, confesses, confession	मान लेगा, मानकर, मान लेगा, अंगीकार	To confess means to admit or assert that something is true. A "confession" is a statement or admission that something is true.   * The term "confess" can refer to boldly stating the truth about God. It can also refer to admitting that we have sinned. * The Bible says that if people confess their sins to God, he will forgive them. * James the apostle wrote in his letter that when believers confess their sins to each other, this brings spiritual healing. * The apostle Paul wrote to the Philippians that someday everyone will confess or declare that Jesus is Lord. * Paul also said that if people confess that Jesus is Lord and believe that God raised him from the dead, they will be saved.	G1843,G3670,G3671	62001008 ,62001009 ,62001010 ,63001007 ,63001008 ,59005016 ,40003004 ,40003005 ,40003006 ,50002009 ,50002010 ,50002011	
43	conscience, consciences	विवेक, विवेक	'The conscience is the part of a person''s thinking through which God makes him aware that he is doing something sinful.  * God gave people a conscience to help them know the difference between what is right and what is wrong. * A person who obeys God is said to have a "pure" or "clear" or "clean" conscience. * If a person has a "clear conscience" it means that he is not hiding any sin. * If someone ignores their conscience and no longer feels guilty when he sins, this means his conscience is no longer sensitive to what is wrong. The Bible calls this a "seared" conscience, one that is "branded" as if with a hot iron. Such a conscience is also called "insensitive" and "polluted." * Possible ways to translate this term could include, "inner moral guide" or "moral thinking."'	G4893	54001019 ,54003009 ,47005011 ,55001003 ,45009001 ,56001015 ,56001016	
