Sl.No.	key_word_eng	key_word_hin	word_forms_en	word_forms_hi	strongs_en	strongs_hi	references_en	
13	arkofthecovenant	arkofthecovenant	ark of the covenant, ark of Yahweh	वाचा का सन्दूक, यहोवा का सन्दूक	['H727', 'H1285', 'H3068']	['H727', 'H1285', 'H3068']	* [1 Samuel 06:15](rc://en/tn/help/1sa/06/15)* [Exodus 25:10-11](rc://en/tn/help/exo/25/10)* [Hebrews 09:05](rc://en/tn/help/heb/09/05)* [Judges 20:27](rc://en/tn/help/jdg/20/27)* [Numbers 07:89](rc://en/tn/help/num/07/89)* [Revelation 11:19](rc://en/tn/help/rev/11/19)	09006015. 02025010. 02025011. 58009005. 07020027. 04007089. 66011019. 
14	atonement	atonement	atonement, atone, atones, atoned	प्रायश्चित, प्रायश्चित करना, प्रायश्चित किया जाए, प्रायश्चित किया	['H3722', 'H3725']	['H3722', 'H3725', 'G2643']	* [Ezekiel 43:25-27](rc://en/tn/help/ezk/43/25)* [Ezekiel 45:18-20](rc://en/tn/help/ezk/45/18)* [Leviticus 04:20](rc://en/tn/help/lev/04/20)* [Numbers 05:08](rc://en/tn/help/num/05/08)* [Numbers 28:22](rc://en/tn/help/num/28/22)	26043025. 26043026. 26043027. 26045018. 26045019. 26045020. 03004020. 04005008. 04028022. 
15	atonementlid	atonementlid	atonement lid	प्रायश्चित का ढकना	['H3727', 'G2435']	['H3727', 'G2435']	* [Exodus 25:17](rc://en/tn/help/exo/25/17)* [Exodus 30:06](rc://en/tn/help/exo/30/06)* [Exodus 40:17-20](rc://en/tn/help/exo/40/17)* [Leviticus 16:1-2](rc://en/tn/help/lev/16/01)* [Numbers 07:89](rc://en/tn/help/num/07/89)	02025017. 02030006. 02040017. 02040018. 02040019. 02040020. 03016001. 03016002. 04007089. 
16	authority	authority	authority, authorities	अधिकारी, अधिकारियों	['H2940', 'H8633', 'G831', 'G1413', 'G1849', 'G1850', 'G2003', 'G2715', 'G5247']	['H8633', 'G831', 'G1413', 'G1849', 'G1850', 'G2003', 'G2715', 'G5247']	* [Colossians 02:10](rc://en/tn/help/col/02/10)* [Esther 09:29](rc://en/tn/help/est/09/29)* [Genesis 41:35](rc://en/tn/help/gen/41/35)* [Jonah 03:6-7](rc://en/tn/help/jon/03/06)* [Luke 12:05](rc://en/tn/help/luk/12/05)* [Luke 20:1-2](rc://en/tn/help/luk/20/01)* [Mark 01:22](rc://en/tn/help/mrk/01/22)* [Matthew 08:09](rc://en/tn/help/mat/08/09)* [Matthew 28:19](rc://en/tn/help/mat/28/19)* [Titus 03:01](rc://en/tn/help/tit/03/01)	51002010. 17009029. 01041035. 32003006. 32003007. 42012005. 42020001. 42020002. 41001022. 40008009. 40028019. 56003001. 
17	baptize	baptize	baptize, baptized, baptism	बपतिस्मा देना, बपतिस्मा लिया, बपतिस्मा	['G907']	['G907']	* [Acts 02:38](rc://en/tn/help/act/02/38)* [Acts 08:36](rc://en/tn/help/act/08/36)* [Acts 09:18](rc://en/tn/help/act/09/18)* [Acts 10:48](rc://en/tn/help/act/10/48)* [Luke 03:16](rc://en/tn/help/luk/03/16)* [Matthew 03:14](rc://en/tn/help/mat/03/14)* [Matthew 28:18-19](rc://en/tn/help/mat/28/18)	44002038. 44008036. 44009018. 44010048. 42003016. 40003014. 40028018. 40028019. 
18	believe	believe	believe, believes, believed, believer, belief, unbeliever, unbelievers, unbelief	विश्वास, विश्वास करे, विश्वास किया, विश्वास	['H539', 'G544', 'G569', 'G570', 'G571', 'G3982', 'G4100', 'G4102', 'G4103']	['H539', 'H540', 'G544', 'G569', 'G571', 'G3982', 'G4100', 'G4102', 'G4103', 'G4135']	* [Genesis 15:06](rc://en/tn/help/gen/15/06)* [Genesis 45:26](rc://en/tn/help/gen/45/26)* [Job 09:16-18](rc://en/tn/help/job/09/16)* [Habakkuk 01:5-7](rc://en/tn/help/hab/01/05)* [Mark 06:4-6](rc://en/tn/help/mrk/06/04)* [Mark 01:14-15](rc://en/tn/help/mrk/01/14)* [Luke 09:41](rc://en/tn/help/luk/09/41)* [John 01:12](rc://en/tn/help/jhn/01/12)* [Acts 06:05](rc://en/tn/help/act/06/05)* [Acts 09:42](rc://en/tn/help/act/09/42)* [Acts 28:23-24](rc://en/tn/help/act/28/23)* [Romans 03:03](rc://en/tn/help/rom/03/03)* [1 Corinthians 06:01](rc://en/tn/help/1co/06/01)* [1 Corinthians 09:05](rc://en/tn/help/1co/09/05)* [2 Corinthians 06:15](rc://en/tn/help/2co/06/15)* [Hebrews 03:12](rc://en/tn/help/heb/03/12)* [1 John 03:23](rc://en/tn/help/1jn/03/23)	01015006. 01045026. 18009016. 18009017. 18009018. 35001005. 35001006. 35001007. 41006004. 41006005. 41006006. 41001014. 41001015. 42009041. 43001012. 44006005. 44009042. 44028023. 44028024. 45003003. 46006001. 46009005. 47006015. 58003012. 62003023. 
19		believer		विश्वासी		['G4100', 'G4103']		
20	beloved	beloved	beloved, treasured	प्रिय	['H157', 'H1730', 'H2532', 'H3033', 'H3039', 'H4261', 'G25', 'G27', 'G5207']	['H157', 'H1730', 'H2532', 'H3033', 'H3039', 'H4261', 'G25', 'G27', 'G5207']	* [1 Corinthians 04:14](rc://en/tn/help/1co/04/14)* [1 John 03:02](rc://en/tn/help/1jn/03/02)* [1 John 04:07](rc://en/tn/help/1jn/04/07)* [Mark 01:11](rc://en/tn/help/mrk/01/11)* [Mark 12:06](rc://en/tn/help/mrk/12/06)* [Revelation 20:09](rc://en/tn/help/rev/20/09)* [Romans 16:08](rc://en/tn/help/rom/16/08)* [Song of Solomon 01:14](rc://en/tn/help/sng/01/14)	46004014. 62003002. 62004007. 41001011. 41012006. 66020009. 45016008. 
21	birthright	birthright	birthright	पहिलौठे का अधिकार	['H1062', 'G4415']	['H1062', 'G4415']	* [1 Chronicles 05:01](rc://en/tn/help/1ch/05/01)* [Genesis 25:34](rc://en/tn/help/gen/25/34)* [Genesis 43:33](rc://en/tn/help/gen/43/33)* [Hebrews 12:14-17](rc://en/tn/help/heb/12/14)	13005001. 01025034. 01043033. 58012014. 58012015. 58012016. 58012017. 
22	blameless	blameless	blameless	निर्दोष	['H1368', 'H2136', 'H8535', 'G273', 'G274', 'G298', 'G299', 'G410', 'G423']	['H5352', 'H5355', 'G273', 'G274', 'G298', 'G338', 'G410', 'G423']	* [1 Thessalonians 02:10](rc://en/tn/help/1th/02/10)* [1 Thessalonians 03:11-13](rc://en/tn/help/1th/03/11)* [2 Peter 03:14](rc://en/tn/help/2pe/03/14)* [Colossians 01:22](rc://en/tn/help/col/01/22)* [Genesis 17:1-2](rc://en/tn/help/gen/17/01)* [Philippians 02:15](rc://en/tn/help/php/02/15)* [Philippians 03:06](rc://en/tn/help/php/03/06)	52002010. 52003011. 52003012. 52003013. 61003014. 51001022. 01017001. 01017002. 50002015. 50003006. 
23	blasphemy	blasphemy	blasphemy, blaspheme, blasphemes, blasphemed, blasphemous, blasphemies	निन्दा, निन्दा, निन्दा की, निन्दा करना, निन्दक	['H1442', 'H2778', 'H5006', 'H5007', 'H5344', 'G987', 'G988', 'G989']	['H1288', 'H1442', 'H2778', 'H5006', 'H5007', 'H5344', 'G987', 'G988', 'G989']	* [1 Timothy 01:12-14](rc://en/tn/help/1ti/01/12)* [Acts 06:11](rc://en/tn/help/act/06/11)* [Acts 26:9-11](rc://en/tn/help/act/26/09)* [James 02:5-7](rc://en/tn/help/jas/02/05)* [John 10:32-33](rc://en/tn/help/jhn/10/32)* [Luke 12:10](rc://en/tn/help/luk/12/10)* [Mark 14:64](rc://en/tn/help/mrk/14/64)* [Matthew 12:31](rc://en/tn/help/mat/12/31)* [Matthew 26:65](rc://en/tn/help/mat/26/65)* [Psalms 074:10](rc://en/tn/help/psa/074/10)	54001012. 54001013. 54001014. 44006011. 44026009. 44026010. 44026011. 59002005. 59002006. 59002007. 43010032. 43010033. 42012010. 41014064. 40012031. 40026065. 19074010. 
24	bless	bless	bless, blessed, blessing, blessings	आशीष, धन्य, आशीर्वाद	['H833', 'H835', 'H1288', 'H1293', 'G1757', 'G2127', 'G2128', 'G2129', 'G3106', 'G3107', 'G3108', 'G3741']	['H833', 'H835', 'H1288', 'H1289', 'H1293', 'G1757', 'G2127', 'G2128', 'G2129', 'G3106', 'G3107', 'G3108', 'G6050']	* [1 Corinthians 10:16](rc://en/tn/help/1co/10/16)* [Acts 13:34](rc://en/tn/help/act/13/34)* [Ephesians 01:03](rc://en/tn/help/eph/01/03)* [Genesis 14:20](rc://en/tn/help/gen/14/20)* [Isaiah 44:03](rc://en/tn/help/isa/44/03)* [James 01:25](rc://en/tn/help/jas/01/25)* [Luke 06:20](rc://en/tn/help/luk/06/20)* [Matthew 26:26](rc://en/tn/help/mat/26/26)* [Nehemiah 09:05](rc://en/tn/help/neh/09/05)* [Romans 04:09](rc://en/tn/help/rom/04/09)	46010016. 44013034. 49001003. 01014020. 23044003. 59001025. 42006020. 40026026. 16009005. 45004009. 
25	blood	blood	blood	लहू	['H1818', 'H5332', 'G129', 'G130', 'G131']	['H1818', 'H5332', 'G129', 'G130', 'G131', 'G1420']	* [1 John 01:07](rc://en/tn/help/1jn/01/07)* [1 Samuel 14:32](rc://en/tn/help/1sa/14/32)* [Acts 02:20](rc://en/tn/help/act/02/20)* [Acts 05:28](rc://en/tn/help/act/05/28)* [Colossians 01:20](rc://en/tn/help/col/01/20)* [Galatians 01:16](rc://en/tn/help/gal/01/16)* [Genesis 04:11](rc://en/tn/help/gen/04/11)* [Psalms 016:4](rc://en/tn/help/psa/016/4)* [Psalms 105:28-30](rc://en/tn/help/psa/105/028)	62001007. 09014032. 44002020. 44005028. 51001020. 48001016. 01004011. 19105028. 19105029. 19105030. 
26	boast	boast	boast, boasts, boastful	घमण्ड, घमण्ड करना, घमण्डी	['H1984', 'H3235', 'H6286', 'G212', 'G213', 'G2620', 'G2744', 'G2745', 'G2746', 'G3166']	['H1984', 'H3235', 'H6286', 'G212', 'G213', 'G2620', 'G2744', 'G2745', 'G2746', 'G3166']	* [1 Kings 20:11](rc://en/tn/help/1ki/20/11)* [2 Timothy 03:1-4](rc://en/tn/help/2ti/03/01)* [James 03:14](rc://en/tn/help/jas/03/14)* [James 04:15-17](rc://en/tn/help/jas/04/15)* [Psalms 044:08](rc://en/tn/help/psa/044/08)	11020011. 55003001. 55003002. 55003003. 55003004. 59003014. 59004015. 59004016. 59004017. 19044008. 
27	body	body	body, bodies	देह, शरीरों	['H990', 'H1320', 'H1472', 'H1480', 'H1655', 'H3409', 'H4191', 'H5038', 'H5315', 'H6297', 'H7607', 'G4430', 'G4954', 'G4983']	['H990', 'H1320', 'H1460', 'H1465', 'H1472', 'H1480', 'H1655', 'H3409', 'H4191', 'H5038', 'H5085', 'H5315', 'H6106', 'H6297', 'H7607', 'G4430', 'G4954', 'G4983', 'G5559']	* [1 Chronicles 10:12](rc://en/tn/help/1ch/10/12)* [1 Corinthians 05:05](rc://en/tn/help/1co/05/05)* [Ephesians 04:04](rc://en/tn/help/eph/04/04)* [Judges 14:08](rc://en/tn/help/jdg/14/08)* [Numbers 06:6-8](rc://en/tn/help/num/06/06)* [Psalm 031:09](rc://en/tn/help/psa/031/09)* [Romans 12:05](rc://en/tn/help/rom/12/05)	13010012. 46005005. 49004004. 07014008. 04006006. 04006007. 04006008. None031009. 45012005. 
28	bond	bond	bind, binding, bond, bonds, bound, is bound, tie, tying, tie up, tied, tied up, put on, puts on, gird up, fetters, chains	बांधना, बन्धन, बाँधा	['H247', 'H481', 'H631', 'H632', 'H640', 'H3729', 'H4147', 'H6029', 'H6123', 'H6887', 'H7194', 'H7405', 'H7576', 'H8244', 'G254', 'G1195', 'G1198', 'G1199', 'G1210', 'G1249', 'G1402', 'G2611', 'G3784', 'G4019', 'G4029', 'G4886', 'G4887']	['H247', 'H481', 'H519', 'H615', 'H631', 'H632', 'H640', 'H1366', 'H1367', 'H1379', 'H2280', 'H2706', 'H3256', 'H3533', 'H3729', 'H4147', 'H4148', 'H4205', 'H4562', 'H5650', 'H5656', 'H5659', 'H6029', 'H6123', 'H6616', 'H6696', 'H6872', 'H6887', 'H7194', 'H7405', 'H7573', 'H7576', 'H8198', 'H8244', 'H8379', 'G254', 'G331', 'G332', 'G1195', 'G1196', 'G1198', 'G1199', 'G1210', 'G1397', 'G1398', 'G1401', 'G1402', 'G2611', 'G2615', 'G3734', 'G3784', 'G3814', 'G4019', 'G4029', 'G4385', 'G4886', 'G4887', 'G5265']	* [Leviticus 08:07](rc://en/tn/help/lev/08/07)	3008007
29	bornagain	bornagain	born again, born of God, new birth	नए सिरे से जन्म लेना, परमेश्‍वर से जन्मा है, नए जन्म	['G313', 'G509', 'G1080', 'G3824']	['G313', 'G509', 'G1080', 'G3824']	* [1 John 03:09](rc://en/tn/help/1jn/03/09)* [1 Peter 01:03](rc://en/tn/help/1pe/01/03)* [1 Peter 01:23](rc://en/tn/help/1pe/01/23)* [John 03:04](rc://en/tn/help/jhn/03/04)* [John 03:07](rc://en/tn/help/jhn/03/07)* [Titus 03:05](rc://en/tn/help/tit/03/05)	62003009. 60001003. 60001023. 43003004. 43003007. 56003005. 
30	brother	brother	brother, brothers	भाई, भाइयों	['H251', 'H252', 'H264', 'H1730', 'H2992', 'H2993', 'H2994', 'H7453', 'G80', 'G81', 'G2385', 'G2455', 'G2500', 'G4613', 'G5360', 'G5569']	['H251', 'H252', 'H264', 'H1730', 'H2992', 'H2993', 'H2994', 'H7453', 'G80', 'G81', 'G2385', 'G2455', 'G2500', 'G4613', 'G5360', 'G5569']	* [Acts 07:26](rc://en/tn/help/act/07/26)* [Genesis 29:10](rc://en/tn/help/gen/29/10)* [Leviticus 19:17](rc://en/tn/help/lev/19/17)* [Nehemiah 03:01](rc://en/tn/help/neh/03/01)* [Philippians 04:21](rc://en/tn/help/php/04/21)* [Revelation 01:09](rc://en/tn/help/rev/01/09)	44007026. 01029010. 03019017. 16003001. 50004021. 66001009. 
31	call	call	call, calls, calling, called, invite	बुलाना, पुकारे, पुकारना, कहलाता	['H559', 'H2199', 'H4744', 'H6817', 'H7121', 'H7123', 'H7769', 'H7773', 'G154', 'G1528', 'G1941', 'G1951', 'G2028', 'G2046', 'G2564', 'G2821', 'G2822', 'G2840', 'G2919', 'G3004', 'G3106', 'G3333', 'G3343', 'G3603', 'G3686', 'G3687', 'G4341', 'G4377', 'G4779', 'G4867', 'G5455', 'G5537', 'G5581']	['H559', 'H2199', 'H4744', 'H6817', 'H7121', 'H7123', 'G154', 'G363', 'G1458', 'G1528', 'G1941', 'G1951', 'G2028', 'G2046', 'G2564', 'G2821', 'G2822', 'G2840', 'G2919', 'G3004', 'G3106', 'G3333', 'G3343', 'G3603', 'G3686', 'G3687', 'G4316', 'G4341', 'G4377', 'G4779', 'G4867', 'G5455', 'G5537', 'G5581']	* [1 Kings 18:24](rc://en/tn/help/1ki/18/24)* [1 Thessalonians 04:07](rc://en/tn/help/1th/04/07)* [2 Timothy 01:09](rc://en/tn/help/2ti/01/09)* [Ephesians 04:01](rc://en/tn/help/eph/04/01)* [Galatians 01:15](rc://en/tn/help/gal/01/15)* [Matthew 02:15](rc://en/tn/help/mat/02/15)* [Philippians 03:14](rc://en/tn/help/php/03/14){{tag>publish ktlink }	11018024. 52004007. 55001009. 49004001. 48001015. 40002015. 50003014. 
32	centurion	centurion	centurion, centurions	सूबेदार, सूबेदारों	['G1543', 'G2760']	['G1543', 'G2760']	* [Acts 10:01](rc://en/tn/help/act/10/01)* [Acts 27:01](rc://en/tn/help/act/27/01)* [Acts 27:42-44](rc://en/tn/help/act/27/42)* [Luke 07:04](rc://en/tn/help/luk/07/04)* [Luke 23:47](rc://en/tn/help/luk/23/47)* [Mark 15:39](rc://en/tn/help/mrk/15/39)* [Matthew 08:07](rc://en/tn/help/mat/08/07)* [Matthew 27:54](rc://en/tn/help/mat/27/54)	44010001. 44027001. 44027042. 44027043. 44027044. 42007004. 42023047. 41015039. 40008007. 40027054. 
33	children	children	children, child	बच्चे, बालक	['H1069', 'H1121', 'H1123', 'H1129', 'H1323', 'H1397', 'H1580', 'H2029', 'H2030', 'H2056', 'H2145', 'H2233', 'H2945', 'H3173', 'H3205', 'H3206', 'H3243', 'H3490', 'H4392', 'H5271', 'H5288', 'H5290', 'H5759', 'H5768', 'H5953', 'H6185', 'H7908', 'H7909', 'H7921', 'G730', 'G815', 'G1025', 'G1064', 'G3439', 'G3515', 'G3516', 'G3808', 'G3812', 'G3813', 'G3816', 'G5040', 'G5041', 'G5042', 'G5043', 'G5044', 'G5207', 'G5388']	['H1069', 'H1121', 'H1123', 'H1129', 'H1323', 'H1397', 'H1580', 'H2029', 'H2030', 'H2056', 'H2138', 'H2145', 'H2233', 'H2945', 'H3173', 'H3205', 'H3206', 'H3208', 'H3211', 'H3243', 'H3490', 'H4392', 'H5271', 'H5288', 'H5290', 'H5759', 'H5764', 'H5768', 'H5953', 'H6185', 'H7908', 'H7909', 'H7921', 'G730', 'G815', 'G1025', 'G1064', 'G1471', 'G3439', 'G3515', 'G3516', 'G3808', 'G3812', 'G3813', 'G3816', 'G5040', 'G5041', 'G5042', 'G5043', 'G5044', 'G5206', 'G5207', 'G5388']	* [1 John 02:28](rc://en/tn/help/1jn/02/28)* [3 John 01:04](rc://en/tn/help/3jn/01/04)* [Galatians 04:19](rc://en/tn/help/gal/04/19)* [Genesis 45:11](rc://en/tn/help/gen/45/11)* [Joshua 08:34-35](rc://en/tn/help/jos/08/34)* [Nehemiah 05:05](rc://en/tn/help/neh/05/05)	62002028. 64001004. 48004019. 01045011. 06008034. 06008035. 16005005. 
34	christ	christ	Christ, Messiah	मसीह, मसीहा	['H4899', 'G3323', 'G5547']	['H4899', 'G3323', 'G5547']	* [1 John 05:1-3](rc://en/tn/help/1jn/05/01)* [Acts 02:35](rc://en/tn/help/act/02/35)* [Acts 05:40-42](rc://en/tn/help/act/05/40)* [John 01:40-42](rc://en/tn/help/jhn/01/40)* [John 03:27-28](rc://en/tn/help/jhn/03/27)* [John 04:25](rc://en/tn/help/jhn/04/25)* [Luke 02:10-12](rc://en/tn/help/luk/02/10)* [Matthew 01:16](rc://en/tn/help/mat/01/16)	62005001. 62005002. 62005003. 44002035. 44005040. 44005041. 44005042. 43001040. 43001041. 43001042. 43003027. 43003028. 43004025. 42002010. 42002011. 42002012. 40001016. 
35	christian	christian	Christian	मसीही	['G5546']	['G5546']	* [1 Corinthians 06:7-8](rc://en/tn/help/1co/06/07)* [1 Peter 04:16](rc://en/tn/help/1pe/04/16)* [Acts 11:26](rc://en/tn/help/act/11/26)* [Acts 26:28](rc://en/tn/help/act/26/28)	46006007. 46006008. 60004016. 44011026. 44026028. 
